category,glyph name,composition,code point,(char.),(character name),(compatible glyph name)
syllabic,ta_dot-cans,"ta-cans, dot-cans",0x1462,ᑢ,CANADIAN SYLLABICS WEST-CREE TWA,taCans_dotCans
syllabic,dot_ta_dotAbove-cans,"dot-cans, ta-cans, dotAbove-cans",0x1463,ᑣ,CANADIAN SYLLABICS TWAA,dotCans_taCans_dotAboveCans
syllabic,ta_dotAbove_dot-cans,"ta-cans, dotAbove-cans, dot-cans",0x1464,ᑤ,CANADIAN SYLLABICS WEST-CREE TWAA,taCans_dotAboveCans_dotCans
syllabic,ta_ringAbove-cans,"ta-cans, ringAbove-cans",0x18B7,ᢷ,CANADIAN SYLLABICS TAY,taCans_ringAboveCans
syllabic,te_supPipe-cans,"te-cans, supPipe-cans",0x1467,ᑧ,CANADIAN SYLLABICS TTE,teCans_supPipeCans
syllabic,ti_supPipe-cans,"ti-cans, supPipe-cans",0x1468,ᑨ,CANADIAN SYLLABICS TTI,tiCans_supPipeCans
syllabic,to_supPipe-cans,"to-cans, supPipe-cans",0x1469,ᑩ,CANADIAN SYLLABICS TTO,toCans_supPipeCans
syllabic,ta_supPipe-cans,"ta-cans, supPipe-cans",0x146A,ᑪ,CANADIAN SYLLABICS TTA,taCans_supPipeCans
syllabic,to_dieresis-cans,"to-cans, dieresis-cans",0x1452,ᑒ,CANADIAN SYLLABICS Y-CREE TOO,toCans_dieresisCans
syllabic,colon_ta-cans,"colon-cans, ta-cans",0x1465,ᑥ,CANADIAN SYLLABICS NASKAPI TWAA,colonCans_taCans
syllabic,tthe-cans,,0x156B,ᕫ,CANADIAN SYLLABICS TTHE,ttheCans
syllabic,tthi-cans,,0x156C,ᕬ,CANADIAN SYLLABICS TTHI,tthiCans
syllabic,ttho-cans,,0x156D,ᕭ,CANADIAN SYLLABICS TTHO,tthoCans
syllabic,ttha-cans,,0x156E,ᕮ,CANADIAN SYLLABICS TTHA,tthaCans
syllabic,tthe_dot-cans,"tthe-cans, dot-cans",0x18E5,ᣥ,CANADIAN SYLLABICS TTHWE,ttheCans_dotCans
syllabic,ttho_dotAbove-cans,"ttho-cans, dotAbove-cans",0x18E6,ᣦ,CANADIAN SYLLABICS TTHOO,tthoCans_dotAboveCans
syllabic,ttha_dotAbove-cans,"ttha-cans, dotAbove-cans",0x18E7,ᣧ,CANADIAN SYLLABICS TTHAA,tthaCans_dotAboveCans
syllabic,tye-cans,,0x1570,ᕰ,CANADIAN SYLLABICS TYE,tyeCans
syllabic,tyi-cans,,0x1571,ᕱ,CANADIAN SYLLABICS TYI,tyiCans
syllabic,tyo-cans,,0x1572,ᕲ,CANADIAN SYLLABICS TYO,tyoCans
syllabic,tya-cans,,0x1573,ᕳ,CANADIAN SYLLABICS TYA,tyaCans
syllabic,the-cans,,0x155E,ᕞ,CANADIAN SYLLABICS THE,theCans
syllabic,theAlt-cans,,0x155F,ᕟ,CANADIAN SYLLABICS N-CREE THE,theAltCans
syllabic,thi-cans,,0x1560,ᕠ,CANADIAN SYLLABICS THI,thiCans
syllabic,thiAlt-cans,,0x1561,ᕡ,CANADIAN SYLLABICS N-CREE THI,thiAltCans
syllabic,tho-cans,,0x1564,ᕤ,CANADIAN SYLLABICS THO,thoCans
syllabic,tha-cans,,0x1566,ᕦ,CANADIAN SYLLABICS THA,thaCans
syllabic,thi_dotAbove-cans,"thi-cans, dotAbove-cans",0x1562,ᕢ,CANADIAN SYLLABICS THII,thiCans_dotAboveCans
syllabic,thiAlt_dotAbove-cans,"thiAlt-cans, dotAbove-cans",0x1563,ᕣ,CANADIAN SYLLABICS N-CREE THII,thiAltCans_dotAboveCans
syllabic,tho_dotAbove-cans,"tho-cans, dotAbove-cans",0x1565,ᕥ,CANADIAN SYLLABICS THOO,thoCans_dotAboveCans
syllabic,tha_dotAbove-cans,"tha-cans, dotAbove-cans",0x1567,ᕧ,CANADIAN SYLLABICS THAA,thaCans_dotAboveCans
syllabic,dot_tha_dotAbove-cans,"dot-cans, tha-cans, dotAbove-cans",0x1568,ᕨ,CANADIAN SYLLABICS THWAA,dotCans_thaCans_dotAboveCans
syllabic,tha_dotAbove_dot-cans,"tha-cans, dotAbove-cans, dot-cans",0x1569,ᕩ,CANADIAN SYLLABICS WEST-CREE THWAA,thaCans_dotAboveCans_dotCans
syllabic,the_dot-cans,"the-cans, dot-cans",0x18E3,ᣣ,CANADIAN SYLLABICS THWE,theCans_dotCans
syllabic,tha_dot-cans,"tha-cans, dot-cans",0x18E4,ᣤ,CANADIAN SYLLABICS THWA,thaCans_dotCans
syllabic,ke-cans,,0x146B,ᑫ,CANADIAN SYLLABICS KE,keCans
syllabic,ki-cans,,0x146D,ᑭ,CANADIAN SYLLABICS KI,kiCans
syllabic,ko-cans,,0x146F,ᑯ,CANADIAN SYLLABICS KO,koCans
syllabic,ka-cans,,0x1472,ᑲ,CANADIAN SYLLABICS KA,kaCans
syllabic,ki_ringAbove-cans,"ki-cans, ringAbove-cans",0x146C,ᑬ,CANADIAN SYLLABICS KAAI,kiCans_ringAboveCans
